r_name,cpp_name,type,value,convert_base,dims,dim1,dim2,dim3,dim4
basepop,base_pop,real_type,,FALSE,2,pAG,NS,,
Sx,survival,real_type,,FALSE,3,pAG + 1,NS,proj_years,
netmigr_adj,net_migration,real_type,,FALSE,3,pAG,NS,proj_years,
asfr,age_sex_fertility_ratio,real_type,,FALSE,2,p_fertility_age_groups,proj_years,,
births_sex_prop,births_sex_prop,real_type,,FALSE,2,NS,proj_years,,
incidinput,incidence_rate,real_type,,FALSE,1,proj_years,,,
incrr_age,incidence_relative_risk_age,real_type,,FALSE,3,pAG - p_idx_hiv_first_adult,NS,proj_years,
incrr_sex,incidence_relative_risk_sex,real_type,,FALSE,1,proj_years,,,
cd4_mort,cd4_mortality,real_type,,FALSE,3,hDS,hAG,NS,
cd4_prog,cd4_progression,real_type,,FALSE,3,hDS - 1,hAG,NS,
artcd4elig_idx,artcd4elig_idx,int,,TRUE,1,proj_years + 1,,,
cd4_initdist,cd4_initdist,real_type,,FALSE,3,hDS,hAG,NS,
art_mort,art_mortality,real_type,,FALSE,4,hTS,hDS,hAG,NS
artmx_timerr,artmx_timerr,real_type,,FALSE,2,hTS,proj_years,,
art_dropout,art_dropout,real_type,,FALSE,1,proj_years,,,
art15plus_num,art15plus_num,real_type,,FALSE,2,NS,proj_years,,
art15plus_isperc,art15plus_isperc,int,,FALSE,2,NS,proj_years,,
,h_art_stage_dur,real_type,0.5,FALSE,1,hTS - 1,,,
